distance,troughput,calculation_start,runtime,total_packet_count_received,signal_mean, noise,signal_varianz

200,73.2424,0,1,6314,-80,-90,0
200,72.9408,0,2,12576,-80,-90,0
200,70.9224,0,3,18342,-80,-90,0
200,65.2384,0,4,22496,-80,-90,0
200,61.7746,0,5,26627,-80,-90,0
200,59.4287,0,6,30739,-80,-90,0
200,57.8376,0,7,34902,-80,-90,0
200,56.55,0,8,39000,-80,-90,0
200,55.5795,0,9,43122,-80,-90,0
200,54.8483,0,10,47283,-80,-90,0
200,54.1667,0,11,51365,-80,-90,0
200,53.6568,0,12,55507,-80,-90,0
200,53.1967,0,13,59617,-80,-90,0
200,52.8065,0,14,63732,-80,-90,0
200,52.4908,0,15,67876,-80,-90,0
200,52.2022,0,16,72003,-80,-90,0
200,51.9653,0,17,76156,-80,-90,0
200,51.7308,0,18,80272,-80,-90,0
200,51.5345,0,19,84410,-80,-90,0
200,51.3503,0,20,88535,-80,-90,0
200,51.1952,0,21,92681,-80,-90,0
200,51.0463,0,22,96812,-80,-90,0
200,50.9003,0,23,100923,-80,-90,0
200,50.7703,0,24,105042,-80,-90,0
200,50.6507,0,25,109161,-80,-90,0
200,50.5274,0,26,113251,-80,-90,0
200,50.4029,0,27,117317,-80,-90,0
200,50.2885,0,28,121386,-80,-90,0
200,50.1844,0,29,125461,-80,-90,0
200,50.0795,0,30,129516,-80,-90,0
200,49.984,0,31,133578,-80,-90,0
200,49.9025,0,32,137662,-80,-90,0
200,49.8157,0,33,141717,-80,-90,0
200,49.7353,0,34,145776,-80,-90,0
200,49.6613,0,35,149840,-80,-90,0
200,49.5984,0,36,153926,-80,-90,0
200,49.537,0,37,158006,-80,-90,0
200,49.4835,0,38,162101,-80,-90,0
200,49.4249,0,39,166170,-80,-90,0
200,49.3702,0,40,170242,-80,-90,0
200,49.3119,0,41,174292,-80,-90,0
200,49.2696,0,42,178390,-80,-90,0
200,49.2245,0,43,182470,-80,-90,0
200,49.18,0,44,186545,-80,-90,0
200,49.1361,0,45,190614,-80,-90,0
200,49.0962,0,46,194692,-80,-90,0
200,49.0594,0,47,198775,-80,-90,0
