distance,troughput,server_troughput,calculation_start_after_app,runtime,total_packet_count_received,signal_mean,noise,signal_varianz
1,74.9818,74.983,0,37,239166,-34.6839,-90,0
2,74.9818,74.983,0,37,239166,-40.7045,-90,0
3,74.9818,74.983,0,37,239166,-44.2264,-90,0
4,74.9818,74.983,0,37,239166,-46.7251,-90,0
5,74.9818,74.983,0,37,239166,-48.6633,-90,0
6,74.9818,74.983,0,37,239166,-50.247,-90,0
7,74.9818,74.983,0,37,239166,-51.5859,-90,0
8,74.9818,74.983,0,37,239166,-52.7457,-90,0
9,74.9818,74.983,0,37,239166,-53.7688,-90,0
10,74.9818,74.983,0,37,239166,-54.6839,-90,0
11,74.9818,74.983,0,37,239166,-55.5118,-90,0
12,74.9818,74.983,0,37,239166,-56.2676,-90,0
13,74.9818,74.983,0,37,239166,-56.9628,-90,0
14,74.9818,74.983,0,37,239166,-57.6065,-90,0
15,74.9818,74.983,0,37,239166,-58.2058,-90,0
16,74.9818,74.983,0,37,239166,-58.7663,-90,0
17,74.9818,74.983,0,37,239166,-59.2929,-90,0
18,74.9818,74.983,0,37,239166,-59.7894,-90,0
19,74.9818,74.983,0,37,239166,-60.259,-90,0
20,74.9818,74.983,0,37,239166,-60.7045,-90,0
21,74.9818,74.983,0,37,239166,-61.1283,-90,0
22,74.9818,74.983,0,37,239166,-61.5324,-90,0
23,74.9818,74.983,0,37,239166,-61.9185,-90,0
24,74.9818,74.983,0,37,239166,-62.2882,-90,0
25,74.9818,74.983,0,37,239166,-62.6427,-90,0
26,74.9818,74.983,0,37,239166,-62.9834,-90,0
27,74.9818,74.983,0,37,239166,-63.3112,-90,0
28,74.9818,74.983,0,37,239166,-63.6271,-90,0
29,74.9818,74.983,0,37,239166,-63.9319,-90,0
30,74.9818,74.983,0,37,239166,-64.2264,-90,0
31,74.9818,74.983,0,37,239166,-64.5112,-90,0
32,74.9818,74.983,0,37,239166,-64.7869,-90,0
33,74.9818,74.983,0,37,239166,-65.0542,-90,0
34,74.9818,74.983,0,37,239166,-65.3135,-90,0
35,74.9818,74.983,0,37,239166,-65.5653,-90,0
36,74.9818,74.983,0,37,239166,-65.81,-90,0
37,74.9818,74.983,0,37,239166,-66.048,-90,0
38,74.9818,74.983,0,37,239166,-66.2796,-90,0
39,74.9818,74.983,0,37,239166,-66.5052,-90,0
40,74.9818,74.983,0,37,239166,-66.7251,-90,0
41,74.9818,74.983,0,37,239166,-66.9396,-90,0
42,74.9818,74.983,0,37,239166,-67.1489,-90,0
43,74.9818,74.983,0,37,239166,-67.3533,-90,0
44,74.9818,74.983,0,37,239166,-67.553,-90,0
45,74.9818,74.983,0,37,239166,-67.7482,-90,0
46,74.9818,74.983,0,37,239166,-67.9391,-90,0
47,74.9818,74.983,0,37,239166,-68.1259,-90,0
48,74.9818,74.983,0,37,239166,-68.3088,-90,0
49,74.9818,74.983,0,37,239166,-68.4878,-90,0
50,74.9818,74.983,0,37,239166,-68.6633,-90,0
51,74.9818,74.983,0,37,239166,-68.8353,-90,0
52,74.9818,74.983,0,37,239166,-69.004,-90,0
53,74.9818,74.983,0,37,239166,-69.1694,-90,0
54,74.9818,74.983,0,37,239166,-69.3318,-90,0
55,74.9818,74.983,0,37,239166,-69.4912,-90,0
56,74.9818,74.983,0,37,239166,-69.6477,-90,0
57,74.9818,74.983,0,37,239166,-69.8014,-90,0
58,74.9818,74.983,0,37,239166,-69.9525,-90,0
59,74.9818,74.983,0,37,239166,-70.101,-90,0
60,74.9818,74.9833,0,37,239166,-70.247,-90,0
61,74.9818,74.9833,0,37,239166,-70.3905,-90,0
62,74.9818,74.9833,0,37,239166,-70.5318,-90,0
63,74.9818,74.9833,0,37,239166,-70.6707,-90,0
64,74.9818,74.984,0,37,239166,-70.8075,-90,0
65,74.9818,74.9855,0,37,239166,-70.9422,-90,0
66,74.9818,74.9884,0,37,239166,-71.0748,-90,0
67,74.9818,74.983,0,37,239166,-71.2054,-90,0
68,74.9818,74.983,0,37,239166,-71.3341,-90,0
69,74.9818,74.983,0,37,239166,-71.4609,-90,0
70,74.9818,74.983,0,37,239166,-71.5859,-90,0
71,74.9818,74.983,0,37,239166,-71.7091,-90,0
72,74.9818,74.983,0,37,239166,-71.8306,-90,0
73,74.9818,74.984,0,37,239166,-71.9504,-90,0
74,74.9818,74.9965,0,37,239166,-72.0686,-90,0
75,74.9818,75.0166,0,37,239166,-72.1852,-90,0
76,74.9818,75.0423,0,37,239166,-72.3002,-90,0
77,74.9818,75.0765,0,37,239166,-72.4137,-90,0
78,74.9818,75.1066,0,37,239166,-72.5258,-90,0
79,74.9818,75.1247,0,37,239166,-72.6365,-90,0
80,74.9818,75.1508,0,37,239166,-72.7457,-90,0
81,74.9818,75.1871,0,37,239166,-72.8536,-90,0
82,74.9818,75.2326,0,37,239166,-72.9602,-90,0
83,74.9818,75.2128,0,37,239166,-73.0655,-90,0
84,74.9818,75.1896,0,37,239166,-73.1695,-90,0
85,74.9818,75.1758,0,37,239166,-73.2723,-90,0
86,74.9818,75.1573,0,37,239166,-73.3739,-90,0
87,74.9818,75.1373,0,37,239166,-73.4743,-90,0
88,74.9818,75.1263,0,37,239166,-73.5736,-90,0
89,74.9818,75.1172,0,37,239166,-73.6717,-90,0
90,74.9818,75.1047,0,37,239166,-73.7688,-90,0
91,74.9818,75.1059,0,37,239166,-73.8648,-93,0
92,74.9818,75.1,0,37,239166,-73.9597,-90,0
93,74.9818,75.0517,0,37,239166,-74.0536,-90,0
94,74.9818,75.0163,0,37,239166,-74.1465,-90,0
95,74.7586,74.7736,0,37,238454,-74.2384,-90,0
96,71.2434,71.2632,0,37,227242,-74.3294,-90,0
97,73.6917,73.6989,0,37,235051,-74.4194,-90,0
98,73.9002,73.9086,0,37,235716,-74.5084,-90,0
99,73.7672,73.776,0,37,235292,-74.5966,-90,0
100,73.5346,73.5443,0,37,234550,-74.6839,-90,0
101,73.3537,73.3622,0,37,233973,-74.7704,-90,0
102,71.6764,71.6846,0,37,228623,-74.8559,-90,0
103,71.6692,71.6773,0,37,228600,-74.9407,-90,0
104,71.6128,71.6209,0,37,228420,-75.0246,-90,0
105,71.5758,71.5833,0,37,228302,-75.1077,-90,0
106,71.5356,71.5432,0,37,228174,-75.19,-90,0
107,70.755,70.7628,0,37,225684,-75.2716,-90,0
108,70.7054,70.7133,0,37,225526,-75.3524,-90,0
109,70.6327,70.6409,0,37,225294,-75.4325,-90,0
110,70.5606,70.5688,0,37,225064,-75.5118,-90,0
111,71.2977,71.3061,0,37,227415,-75.5904,-90,0
112,71.2779,71.2864,0,37,227352,-75.6683,-90,0
113,71.266,71.2745,0,37,227314,-75.7455,-90,0
114,71.2328,71.2425,0,37,227208,-75.822,-90,0
115,71.2215,71.2328,0,37,227172,-75.8979,-90,0
116,71.1901,71.2024,0,37,227072,-75.9731,-90,0
117,71.1691,71.1814,0,37,227005,-76.0476,-90,0
118,71.1488,71.1607,0,37,226940,-76.1216,-90,0
119,71.1237,71.1356,0,37,226860,-76.1949,-90,0
120,71.1158,71.1274,0,37,226835,-76.2676,-90,0
121,71.1061,71.1177,0,37,226804,-76.3396,-90,0
122,71.0704,71.082,0,37,226690,-76.4111,-90,0
123,71.0237,71.0356,0,37,226541,-76.482,-90,0
124,70.9581,70.9701,0,37,226332,-76.5524,-90,0
125,70.9117,70.924,0,37,226184,-76.6221,-90,0
126,70.8412,70.8537,0,37,225959,-76.6913,-90,0
127,71.0331,71.0456,0,37,226571,-76.76,-90,0
128,70.9795,70.992,0,37,226400,-76.8281,-90,0
129,70.9202,70.9327,0,37,226211,-76.8957,-90,0
130,69.8433,69.8555,0,37,222776,-76.9628,-90,0
131,69.6903,69.7025,0,37,222288,-77.0294,-90,0
132,69.5624,69.5746,0,37,221880,-77.0954,-90,0
133,69.4232,69.4354,0,37,221436,-77.161,-90,0
134,69.326,69.3382,0,37,221126,-77.226,-90,0
135,69.152,69.1648,0,37,220571,-77.2906,-90,0
136,69.1608,69.1742,0,37,220599,-77.3547,-90,0
137,69.2322,69.246,0,37,220827,-77.4183,-90,0
138,68.878,68.8921,0,37,219697,-77.4815,-90,0
139,68.3908,68.4043,0,37,218143,-77.5442,-90,0
140,68.098,68.1124,0,37,217209,-77.6065,-90,0
141,67.7612,67.775,0,37,216135,-77.6683,-90,0
142,67.412,67.4258,0,37,215021,-77.7297,-90,0
143,66.8727,66.8872,0,37,213301,-77.7906,-90,0
144,66.6197,66.6338,0,37,212494,-77.8512,-90,0
145,66.4827,66.4981,0,37,212057,-77.9113,-90,0
146,65.7867,65.8008,0,37,209837,-77.971,-90,0
147,65.6121,65.6272,0,37,209280,-78.0303,-90,0
148,64.3596,64.3753,0,37,205285,-78.0892,-90,0
149,63.199,63.215,0,37,201583,-78.1477,-90,0
150,62.0948,62.1124,0,37,198061,-78.2058,-90,0
151,61.3957,61.4138,0,37,195831,-78.2635,-90,0
152,60.6724,60.6915,0,37,193524,-78.3208,-90,0
153,60.0322,60.051,0,37,191482,-78.3778,-90,0
154,59.1772,59.1979,0,37,188755,-78.4343,-90,0
155,57.7605,57.7837,0,37,184236,-78.4906,-90,0
156,55.0856,55.1132,0,37,175704,-78.5464,-93,0
157,52.3401,52.3684,0,37,166947,-78.6019,-90,0
158,50.0637,50.0976,0,37,159686,-78.6571,-93,0
159,50.7494,50.7682,0,37,161873,-78.7119,-90,0
160,50.74,50.7591,0,37,161843,-78.7663,-90,0
161,50.7378,50.7569,0,37,161836,-78.8204,-90,0
162,50.7397,50.7588,0,37,161842,-78.8742,-90,0
163,50.7343,50.7534,0,37,161825,-78.9277,-90,0
164,50.7171,50.7371,0,37,161770,-78.9808,-90,0
165,50.7271,50.7472,0,37,161802,-79.0336,-90,0
166,50.713,50.7331,0,37,161757,-79.0861,-90,0
167,50.7208,50.7403,0,37,161782,-79.1383,-90,0
168,50.7077,50.7271,0,37,161740,-79.1901,-90,0
169,50.6951,50.7146,0,37,161700,-79.2417,-90,0
170,50.6951,50.7143,0,37,161700,-79.2929,-90,0
171,50.6889,50.708,0,37,161680,-79.3439,-90,0
172,50.6823,50.7017,0,37,161659,-79.3945,-90,0
173,50.6788,50.6983,0,37,161648,-79.4448,-90,0
174,50.6688,50.6882,0,37,161616,-79.4949,-90,0
175,50.6619,50.6813,0,37,161594,-79.5447,-90,0
176,50.6528,50.6722,0,37,161565,-79.5942,-90,0
177,50.645,50.6644,0,37,161540,-79.6434,-90,0
178,50.6312,50.6512,0,37,161496,-79.6923,-90,0
179,50.6299,50.65,0,37,161492,-79.741,-90,0
180,50.6252,50.6453,0,37,161477,-79.7894,-90,0
181,50.6183,50.6381,0,37,161455,-79.8375,-90,0
182,50.6102,50.6299,0,37,161429,-79.8854,-90,0
183,50.6124,50.6331,0,37,161436,-79.9329,-90,0
184,50.597,50.6177,0,37,161387,-79.9803,-90,0
185,50.566,50.5867,0,37,161288,-80.0274,-90,0
186,50.5243,50.545,0,37,161155,-80.0742,-90,0
187,50.4876,50.5083,0,37,161038,-80.1208,-90,0
188,50.4622,50.4829,0,37,160957,-80.1671,-90,0
189,50.4221,50.4428,0,37,160829,-80.2132,-90,0
190,50.392,50.4127,0,37,160733,-80.259,-90,0
191,50.359,50.3797,0,37,160628,-80.3046,-90,0
192,50.3327,50.3534,0,37,160544,-80.35,-90,0
193,50.296,50.3167,0,37,160427,-80.3951,-90,0
194,50.2735,50.2942,0,37,160355,-80.44,-90,0
195,50.1703,50.191,0,37,160026,-80.4846,-90,0
196,50.0543,50.075,0,37,159656,-80.529,-90,0
197,49.9126,49.9333,0,37,159204,-80.5733,-90,0
198,49.8041,49.8248,0,37,158858,-80.6172,-90,0
199,49.6615,49.6822,0,37,158403,-80.661,-93,0
200,49.537,49.5577,0,37,158006,-80.7045,-90,0
201,49.421,49.4417,0,37,157636,-80.7478,-90,0
202,49.252,49.2727,0,37,157097,-80.791,-90,0
203,49.1351,49.1558,0,37,156724,-80.8338,-90,0
204,49.0163,49.037,0,37,156345,-80.8765,-90,0
205,48.9159,48.9366,0,37,156025,-80.919,-90,0
206,48.6827,48.7034,0,37,155281,-80.9613,-90,0
207,48.2623,48.2842,0,37,153940,-81.0033,-90,0
208,47.8494,47.8707,0,37,152623,-81.0452,-90,0
209,47.4039,47.4258,0,37,151202,-81.0869,-90,0
210,46.9998,47.0217,0,37,149913,-81.1283,-90,0
211,46.5963,46.6182,0,37,148626,-81.1696,-90,0
212,46.1526,46.1749,0,37,147211,-81.2106,-90,0
213,45.6272,45.6498,0,37,145535,-81.2515,-90,0
214,45.1858,45.2083,0,37,144127,-81.2922,-90,0
215,44.7898,44.813,0,37,142864,-81.3327,-90,0
216,44.3302,44.3524,0,37,141398,-81.373,-90,0
217,43.8803,43.9035,0,37,139963,-81.4131,-90,0
218,43.4828,43.5056,0,37,138695,-81.4531,-90,0
219,42.3127,42.3356,0,37,134963,-81.4928,-90,0
220,41.0552,41.079,0,37,130952,-81.5324,-90,0
221,39.7952,39.8206,0,37,126933,-81.5718,-90,0
222,38.3201,38.3452,0,37,122228,-81.611,-90,0
223,38.3176,38.3427,0,37,122220,-81.65,-90,0
224,38.3211,38.3462,0,37,122231,-81.6889,-90,0
225,38.3085,38.3336,0,37,122191,-81.7276,-90,0
226,38.3013,38.327,0,37,122168,-81.7661,-90,0
227,38.3051,38.3302,0,37,122180,-81.8044,-90,0
228,38.2982,38.3239,0,37,122158,-81.8426,-93,0
229,38.2916,38.3179,0,37,122137,-81.8806,-90,0
230,38.3007,38.3261,0,37,122166,-81.9185,-90,0
231,38.2919,38.3176,0,37,122138,-81.9562,-90,0
232,38.2872,38.3123,0,37,122123,-81.9937,-90,0
233,0,0,0,37,0,nan,0,0
