distance,troughput,server_troughput,calculation_start_after_app,runtime,total_packet_count_received,signal_mean,noise,signal_varianz
1,74.9858,74.9871,0,37,239179,10.4015,-90,0
2,74.9858,74.9871,0,37,239179,10.4029,-90,0
3,74.9858,74.9871,0,37,239179,10.4034,-90,0
4,74.9858,74.9871,0,37,239179,10.4042,-90,0
5,74.9858,74.9871,0,37,239179,10.4017,-90,0
6,74.9858,74.9871,0,37,239179,10.403,-90,0
7,74.9858,74.9871,0,37,239179,10.4057,-90,0
8,74.9858,74.9871,0,37,239179,10.405,-90,0
9,74.9858,74.9871,0,37,239179,10.408,-90,0
10,74.9858,74.9871,0,37,239179,10.4052,-90,0
11,74.9858,74.9871,0,37,239179,10.4035,-90,0
12,74.9858,74.9871,0,37,239179,10.4015,-90,0
13,74.9858,74.9871,0,37,239179,10.4029,-90,0
14,74.9858,74.9871,0,37,239179,10.4028,-90,0
15,74.9858,74.9871,0,37,239179,10.403,-90,0
16,74.9858,74.9871,0,37,239179,10.4011,-90,0
17,74.9858,74.9871,0,37,239179,10.4013,-90,0
18,74.9858,74.9871,0,37,239179,10.4013,-90,0
19,74.9858,74.9871,0,37,239179,10.4005,-90,0
20,74.9858,74.9871,0,37,239179,10.4029,-90,0
21,74.9858,74.9871,0,37,239179,10.4037,-90,0
22,74.9858,74.9871,0,37,239179,10.4023,-90,0
23,74.9858,74.9871,0,37,239179,10.4014,-90,0
24,74.9858,74.9871,0,37,239179,10.4021,-90,0
25,74.9858,74.9871,0,37,239179,10.3998,-90,0
26,74.9858,74.9871,0,37,239179,10.401,-90,0
27,74.9858,74.9871,0,37,239179,10.4032,-90,0
28,74.9858,74.9871,0,37,239179,10.403,-90,0
29,74.9858,74.9871,0,37,239179,10.4037,-90,0
30,74.9858,74.9871,0,37,239179,10.4025,-90,0
31,74.9858,74.9871,0,37,239179,10.4007,-90,0
32,74.9858,74.9871,0,37,239179,10.4019,-90,0
33,74.9858,74.9871,0,37,239179,10.401,-90,0
34,74.9858,74.9871,0,37,239179,10.4021,-90,0
35,74.9858,74.9871,0,37,239179,10.4046,-90,0
36,74.9858,74.9871,0,37,239179,10.4037,-90,0
37,74.9858,74.9871,0,37,239179,10.4017,-90,0
38,74.9858,74.9871,0,37,239179,10.4033,-90,0
39,74.9858,74.9871,0,37,239179,10.4027,-90,0
40,74.9858,74.9871,0,37,239179,10.4032,-90,0
41,74.9858,74.9871,0,37,239179,10.4052,-90,0
42,74.9858,74.9871,0,37,239179,10.4042,-90,0
43,74.9858,74.9871,0,37,239179,10.404,-90,0
44,74.9858,74.9871,0,37,239179,10.4028,-90,0
45,74.9858,74.9871,0,37,239179,10.4025,-90,0
46,74.9858,74.9871,0,37,239179,10.4038,-90,0
47,74.9858,74.9871,0,37,239179,10.4036,-90,0
48,74.9858,74.9871,0,37,239179,10.4016,-90,0
49,74.9858,74.9871,0,37,239179,10.4028,-90,0
50,74.9858,74.9871,0,37,239179,10.4028,-90,0
51,74.9858,74.9871,0,37,239179,10.4023,-90,0
52,74.9858,74.9871,0,37,239179,10.4038,-90,0
53,74.9858,74.9871,0,37,239179,10.405,-90,0
54,74.9858,74.9871,0,37,239179,10.4047,-90,0
55,74.9858,74.9871,0,37,239179,10.4032,-90,0
56,74.9858,74.9871,0,37,239179,10.4022,-90,0
57,74.9858,74.9871,0,37,239179,10.4012,-90,0
58,74.9858,74.9871,0,37,239179,10.4036,-90,0
59,74.9858,74.9871,0,37,239179,10.4054,-90,0
60,74.9858,74.9871,0,37,239179,10.4038,-90,0
61,74.9858,74.9871,0,37,239179,10.4031,-90,0
62,74.9858,74.9871,0,37,239179,10.4021,-90,0
63,74.9858,74.9871,0,37,239179,10.4039,-90,0
64,74.9858,74.9871,0,37,239179,10.4043,-90,0
65,74.9858,74.9871,0,37,239179,10.4051,-90,0
66,74.9858,74.9871,0,37,239179,10.4015,-90,0
67,74.9858,74.9871,0,37,239179,10.4028,-90,0
68,74.9858,74.9871,0,37,239179,10.4047,-90,0
69,74.9858,74.9871,0,37,239179,10.4027,-90,0
70,74.9858,74.9871,0,37,239179,10.4024,-90,0
71,74.9858,74.9871,0,37,239179,10.4035,-90,0
72,74.9858,74.9871,0,37,239179,10.4033,-90,0
73,74.9858,74.9871,0,37,239179,10.4044,-90,0
74,74.9858,74.9871,0,37,239179,10.4047,-90,0
75,74.9858,74.9871,0,37,239179,10.4019,-90,0
76,74.9858,74.9871,0,37,239179,10.4041,-90,0
77,74.9858,74.9871,0,37,239179,10.4041,-90,0
78,74.9858,74.9871,0,37,239179,10.4027,-90,0
79,74.9858,74.9871,0,37,239179,10.3999,-90,0
80,74.9858,74.9871,0,37,239179,8.5624,-90,0
81,74.9858,74.9871,0,37,239179,8.56332,-90,0
82,74.9858,74.9871,0,37,239179,8.55867,-90,0
83,74.9858,74.9871,0,37,239179,8.55921,-90,0
84,74.9858,74.9871,0,37,239179,8.56329,-90,0
85,74.9858,74.9871,0,37,239179,8.56562,-90,0
86,74.9858,74.9871,0,37,239179,8.56544,-90,0
87,74.9858,74.9871,0,37,239179,8.56734,-90,0
88,74.9858,74.9871,0,37,239179,8.56455,-90,0
89,74.9858,74.9871,0,37,239179,8.56314,-90,0
90,74.9858,74.9871,0,37,239179,8.56661,-90,0
91,74.9858,74.9871,0,37,239179,8.5631,-90,0
92,74.9858,74.9871,0,37,239179,8.56256,-90,0
93,74.9858,74.9871,0,37,239179,8.55699,-90,0
94,74.9858,74.9871,0,37,239179,8.56294,-90,0
95,74.9858,74.9871,0,37,239179,8.56337,-90,0
96,74.9858,74.9871,0,37,239179,8.56532,-90,0
97,74.9858,74.9871,0,37,239179,8.56034,-90,0
98,74.9858,74.9871,0,37,239179,8.56004,-90,0
99,74.9858,74.9871,0,37,239179,8.5653,-90,0
100,74.9858,74.9871,0,37,239179,8.56266,-90,0
101,74.9858,74.9871,0,37,239179,8.55916,-90,0
102,74.9858,74.9871,0,37,239179,8.56754,-90,0
103,74.9858,74.9871,0,37,239179,8.56505,-90,0
104,74.9858,74.9871,0,37,239179,8.56478,-90,0
105,74.9858,74.9871,0,37,239179,8.56415,-90,0
106,74.9858,74.9871,0,37,239179,8.565,-90,0
107,74.9858,74.9871,0,37,239179,8.55788,-90,0
108,74.9858,74.9871,0,37,239179,8.56213,-90,0
109,74.9858,74.9871,0,37,239179,8.56369,-90,0
110,74.9858,74.9871,0,37,239179,8.56398,-90,0
111,74.9858,74.9871,0,37,239179,8.56069,-90,0
112,74.9858,74.9871,0,37,239179,8.56111,-90,0
113,74.9858,74.9871,0,37,239179,8.55991,-90,0
114,74.9858,74.9871,0,37,239179,8.56373,-90,0
115,74.9858,74.9871,0,37,239179,8.56155,-90,0
116,74.9858,74.9871,0,37,239179,8.56094,-90,0
117,74.9858,74.9871,0,37,239179,8.56085,-90,0
118,74.9858,74.9871,0,37,239179,8.56206,-90,0
119,74.9858,74.9871,0,37,239179,8.56425,-90,0
120,74.9858,74.9871,0,37,239179,8.55947,-90,0
121,74.9858,74.9871,0,37,239179,8.56676,-90,0
122,74.9858,74.9871,0,37,239179,8.56116,-90,0
123,74.9858,74.9871,0,37,239179,8.56546,-90,0
124,74.9858,74.9871,0,37,239179,8.56319,-90,0
125,74.9858,74.9871,0,37,239179,8.5617,-90,0
126,74.9858,74.9871,0,37,239179,8.56372,-90,0
127,74.9858,74.9871,0,37,239179,8.5606,-90,0
128,74.9858,74.9871,0,37,239179,8.56035,-90,0
129,74.9858,74.9871,0,37,239179,8.5602,-90,0
130,74.9858,74.9871,0,37,239179,8.56154,-90,0
131,74.9858,74.9871,0,37,239179,8.56645,-90,0
132,74.9858,74.9871,0,37,239179,8.56306,-90,0
133,74.9858,74.9871,0,37,239179,8.56203,-90,0
134,74.9858,74.9871,0,37,239179,8.56049,-90,0
135,74.9858,74.9871,0,37,239179,8.56325,-90,0
136,74.9858,74.9871,0,37,239179,8.56367,-90,0
137,74.9858,74.9871,0,37,239179,8.56183,-90,0
138,74.9858,74.9871,0,37,239179,8.56217,-90,0
139,74.9858,74.9871,0,37,239179,8.55878,-90,0
140,74.9858,74.9871,0,37,239179,8.56144,-90,0
141,74.9858,74.9871,0,37,239179,8.5618,-90,0
142,74.9858,74.9871,0,37,239179,8.55986,-90,0
143,74.9858,74.9871,0,37,239179,8.56121,-90,0
144,74.9858,74.9871,0,37,239179,8.56168,-90,0
145,74.9858,74.9871,0,37,239179,8.56704,-90,0
146,74.9858,74.9871,0,37,239179,8.56417,-90,0
147,74.9858,74.9871,0,37,239179,8.56396,-90,0
148,74.9858,74.9871,0,37,239179,8.56115,-90,0
149,74.9858,74.9871,0,37,239179,8.56439,-90,0
150,74.9858,74.9871,0,37,239179,8.56343,-90,0
151,74.9858,74.9871,0,37,239179,8.56778,-90,0
152,74.9858,74.9871,0,37,239179,8.56469,-90,0
153,74.9858,74.9871,0,37,239179,8.55977,-90,0
154,74.9858,74.9871,0,37,239179,8.56572,-90,0
155,74.9858,74.9871,0,37,239179,8.56172,-90,0
156,74.9858,74.9871,0,37,239179,8.56194,-90,0
157,74.9858,74.9871,0,37,239179,8.56169,-90,0
158,74.9858,74.9871,0,37,239179,8.56272,-90,0
159,74.9858,74.9871,0,37,239179,8.56165,-90,0
160,74.9858,74.9871,0,37,239179,8.56187,-90,0
161,74.9858,74.9871,0,37,239179,8.56482,-90,0
162,74.9858,74.9871,0,37,239179,8.56376,-90,0
163,74.9858,74.9871,0,37,239179,8.56359,-90,0
164,74.9858,74.9871,0,37,239179,8.56044,-90,0
165,74.9858,74.9871,0,37,239179,8.55875,-90,0
166,74.9858,74.9871,0,37,239179,8.56435,-90,0
167,74.9858,74.9871,0,37,239179,8.56653,-90,0
168,74.9858,74.9871,0,37,239179,8.5623,-90,0
169,74.9858,74.9871,0,37,239179,8.56392,-90,0
170,74.9858,74.9871,0,37,239179,8.56159,-90,0
171,74.9858,74.9871,0,37,239179,8.56115,-90,0
172,74.9858,74.9871,0,37,239179,8.55945,-90,0
173,74.9858,74.9871,0,37,239179,8.56168,-90,0
174,74.9858,74.9871,0,37,239179,8.55804,-90,0
175,74.9858,74.9871,0,37,239179,8.56186,-90,0
176,74.9858,74.9871,0,37,239179,8.56359,-90,0
177,74.9858,74.9871,0,37,239179,8.56034,-90,0
178,74.9858,74.9871,0,37,239179,8.56324,-90,0
179,74.9858,74.9871,0,37,239179,8.56469,-90,0
180,74.9858,74.9871,0,37,239179,8.56339,-90,0
181,74.9858,74.9871,0,37,239179,8.55912,-90,0
182,74.9858,74.9871,0,37,239179,8.56112,-90,0
183,74.9858,74.9871,0,37,239179,8.56371,-90,0
184,74.9858,74.9871,0,37,239179,8.56414,-90,0
185,74.9858,74.9871,0,37,239179,8.56178,-90,0
186,74.9858,74.9871,0,37,239179,8.56311,-90,0
187,74.9858,74.9871,0,37,239179,8.5633,-90,0
188,74.9858,74.9871,0,37,239179,8.55932,-90,0
189,74.9858,74.9871,0,37,239179,8.56029,-90,0
190,74.9858,74.9871,0,37,239179,8.55982,-90,0
191,74.9858,74.9871,0,37,239179,8.55804,-90,0
192,74.9858,74.9871,0,37,239179,8.55718,-90,0
193,74.9858,74.9871,0,37,239179,8.56343,-90,0
194,74.9858,74.9871,0,37,239179,8.56347,-90,0
195,74.9858,74.9871,0,37,239179,8.56313,-90,0
196,74.9858,74.9871,0,37,239179,8.56695,-90,0
197,74.9858,74.9871,0,37,239179,8.55953,-90,0
198,74.9858,74.9871,0,37,239179,8.56124,-90,0
199,74.9858,74.9871,0,37,239179,8.566,-90,0
200,74.9858,74.9871,0,37,239179,8.56483,-90,0
201,74.9858,74.9871,0,37,239179,8.56123,-90,0
202,74.9858,74.9871,0,37,239179,8.56014,-90,0
203,74.9858,74.9871,0,37,239179,8.56353,-90,0
204,74.9858,74.9871,0,37,239179,8.56639,-90,0
205,74.9858,74.9871,0,37,239179,8.56358,-90,0
206,74.9858,74.9871,0,37,239179,8.56135,-90,0
207,74.9858,74.9871,0,37,239179,8.56297,-90,0
208,74.9858,74.9871,0,37,239179,8.56516,-90,0
209,74.9858,74.9871,0,37,239179,8.56321,-90,0
210,74.9858,74.9871,0,37,239179,8.56398,-90,0
211,74.9858,74.9871,0,37,239179,8.56072,-90,0
212,74.9858,74.9871,0,37,239179,8.56134,-90,0
213,74.9858,74.9871,0,37,239179,8.56193,-90,0
214,74.9858,74.9871,0,37,239179,8.56516,-90,0
215,74.9858,74.9871,0,37,239179,8.56383,-90,0
216,74.9858,74.9871,0,37,239179,8.56187,-90,0
217,74.9858,74.9871,0,37,239179,8.56366,-90,0
218,74.9858,74.9871,0,37,239179,8.56195,-90,0
219,74.9858,74.9871,0,37,239179,8.56389,-90,0
220,74.9858,74.9871,0,37,239179,8.56583,-90,0
221,74.9858,74.9871,0,37,239179,8.56458,-90,0
222,74.9858,74.9871,0,37,239179,8.56204,-90,0
223,74.9858,74.9871,0,37,239179,8.55966,-90,0
224,74.9858,74.9871,0,37,239179,8.55927,-90,0
225,74.9858,74.9871,0,37,239179,8.56082,-90,0
226,74.9858,74.9871,0,37,239179,8.56294,-90,0
227,74.9858,74.9871,0,37,239179,8.5643,-90,0
228,74.9858,74.9871,0,37,239179,8.56291,-90,0
229,74.9858,74.9871,0,37,239179,8.55943,-90,0
230,74.9858,74.9871,0,37,239179,8.56387,-90,0
231,74.9858,74.9871,0,37,239179,8.55702,-90,0
232,74.9858,74.9871,0,37,239179,8.55927,-90,0
233,74.9858,74.9871,0,37,239179,8.55815,-90,0
234,74.9858,74.9871,0,37,239179,8.55926,-90,0
235,74.9858,74.9871,0,37,239179,8.56232,-90,0
236,74.9858,74.9871,0,37,239179,8.56348,-90,0
237,74.9858,74.9871,0,37,239179,8.56034,-90,0
238,74.9858,74.9871,0,37,239179,8.55942,-90,0
239,74.9858,74.9871,0,37,239179,8.56223,-90,0
240,74.9858,74.9871,0,37,239179,8.56255,-90,0
241,74.9858,74.9871,0,37,239179,8.56349,-90,0
242,74.9858,74.9871,0,37,239179,8.56341,-90,0
243,74.9858,74.9871,0,37,239179,8.56434,-90,0
244,74.9858,74.9871,0,37,239179,8.56298,-90,0
245,74.9858,74.9871,0,37,239179,8.56409,-90,0
246,74.9858,74.9871,0,37,239179,8.56593,-90,0
247,74.9858,74.9871,0,37,239179,8.55977,-90,0
248,74.9858,74.9871,0,37,239179,8.56482,-90,0
249,74.9858,74.9871,0,37,239179,8.56086,-90,0
250,74.9858,74.9871,0,37,239179,8.56089,-90,0
251,74.9858,74.9871,0,37,239179,8.55967,-90,0
252,74.9858,74.9871,0,37,239179,8.56388,-90,0
253,74.9858,74.9871,0,37,239179,8.56433,-90,0
254,74.9858,74.9871,0,37,239179,8.56339,-90,0
255,74.9858,74.9871,0,37,239179,8.56285,-90,0
256,74.9858,74.9871,0,37,239179,8.56015,-90,0
257,74.9858,74.9871,0,37,239179,8.56439,-90,0
258,74.9858,74.9871,0,37,239179,8.56182,-90,0
259,74.9858,74.9871,0,37,239179,8.55782,-90,0
260,74.9858,74.9871,0,37,239179,8.56225,-90,0
261,74.9858,74.9871,0,37,239179,8.56518,-90,0
262,74.9858,74.9871,0,37,239179,8.56285,-90,0
263,74.9858,74.9871,0,37,239179,8.5626,-90,0
264,74.9858,74.9871,0,37,239179,8.56314,-90,0
265,74.9858,74.9871,0,37,239179,8.56431,-90,0
266,74.9858,74.9871,0,37,239179,8.56047,-90,0
267,74.9858,74.9871,0,37,239179,8.56227,-90,0
268,74.9858,74.9871,0,37,239179,8.56423,-90,0
269,74.9858,74.9871,0,37,239179,8.56372,-90,0
270,74.9858,74.9871,0,37,239179,8.56211,-90,0
271,74.9858,74.9871,0,37,239179,8.56151,-90,0
272,74.9858,74.9871,0,37,239179,8.56192,-90,0
273,74.9858,74.9871,0,37,239179,8.56009,-90,0
274,74.9858,74.9871,0,37,239179,8.5613,-90,0
275,74.9858,74.9871,0,37,239179,8.56484,-90,0
276,74.9858,74.9871,0,37,239179,8.56712,-90,0
277,74.9858,74.9871,0,37,239179,8.56521,-90,0
278,74.9858,74.9871,0,37,239179,8.56389,-90,0
279,74.9858,74.9871,0,37,239179,8.56219,-90,0
