distance,troughput,server_troughput,calculation_start_after_app,runtime,total_packet_count_received,signal_mean,noise,signal_varianz
1,74.9818,74.983,0,37,239166,-34.6777,-90,0
2,74.9818,74.983,0,37,239166,-40.3973,-90,0
3,74.9818,74.983,0,37,239166,-43.743,-90,0
4,74.9818,74.983,0,37,239166,-46.1168,-90,0
5,74.9818,74.983,0,37,239166,-47.9581,-90,0
6,74.9818,74.983,0,37,239166,-49.4626,-90,0
7,74.9818,74.983,0,37,239166,-50.7346,-90,0
8,74.9818,74.983,0,37,239166,-51.8364,-90,0
9,74.9818,74.983,0,37,239166,-52.8083,-90,0
10,74.9818,74.983,0,37,239166,-53.6777,-90,0
11,74.9818,74.983,0,37,239166,-54.4642,-90,0
12,74.9818,74.983,0,37,239166,-55.1821,-90,0
13,74.9818,74.983,0,37,239166,-55.8426,-90,0
14,74.9818,74.983,0,37,239166,-56.4541,-90,0
15,74.9818,74.983,0,37,239166,-57.0234,-90,0
16,74.9818,74.983,0,37,239166,-57.556,-90,0
17,74.9818,74.983,0,37,239166,-58.0562,-90,0
18,74.9818,74.983,0,37,239166,-58.5279,-90,0
19,74.9818,74.983,0,37,239166,-58.974,-90,0
20,74.9818,74.983,0,37,239166,-59.3973,-90,0
21,74.9818,74.983,0,37,239166,-59.7999,-90,0
22,74.9818,74.983,0,37,239166,-60.1837,-90,0
23,74.9818,74.983,0,37,239166,-60.5505,-90,0
24,74.9818,74.983,0,37,239166,-60.9017,-90,0
25,74.9818,74.983,0,37,239166,-61.2386,-90,0
26,74.9818,74.983,0,37,239166,-61.5622,-90,0
27,74.9818,74.983,0,37,239166,-61.8736,-90,0
28,74.9818,74.983,0,37,239166,-62.1737,-90,0
29,74.9818,74.983,0,37,239166,-62.4633,-90,0
30,74.9818,74.983,0,37,239166,-62.743,-90,0
31,74.9818,74.983,0,37,239166,-63.0136,-90,0
32,74.9818,74.983,0,37,239166,-63.2755,-90,0
33,74.9818,74.983,0,37,239166,-63.5295,-90,0
34,74.9818,74.983,0,37,239166,-63.7758,-90,0
35,74.9818,74.983,0,37,239166,-64.015,-90,0
36,74.9818,74.983,0,37,239166,-64.2474,-90,0
37,74.9818,74.983,0,37,239166,-64.4735,-90,0
38,74.9818,74.983,0,37,239166,-64.6936,-90,0
39,74.9818,74.983,0,37,239166,-64.9079,-90,0
40,74.9818,74.983,0,37,239166,-65.1168,-90,0
41,74.9818,74.983,0,37,239166,-65.3206,-90,0
42,74.9818,74.983,0,37,239166,-65.5194,-90,0
43,74.9818,74.983,0,37,239166,-65.7136,-90,0
44,74.9818,74.983,0,37,239166,-65.9033,-90,0
45,74.9818,74.983,0,37,239166,-66.0887,-90,0
46,74.9818,74.983,0,37,239166,-66.2701,-90,0
47,74.9818,74.983,0,37,239166,-66.4476,-90,0
48,74.9818,74.983,0,37,239166,-66.6213,-90,0
49,74.9818,74.983,0,37,239166,-66.7914,-90,0
50,74.9818,74.983,0,37,239166,-66.9581,-90,0
51,74.9818,74.983,0,37,239166,-67.1215,-90,0
52,74.9818,74.983,0,37,239166,-67.2818,-90,0
53,74.9818,74.983,0,37,239166,-67.4389,-90,0
54,74.9818,74.983,0,37,239166,-67.5932,-90,0
55,74.9818,74.983,0,37,239166,-67.7446,-90,0
56,74.9818,74.983,0,37,239166,-67.8933,-90,0
57,74.9818,74.983,0,37,239166,-68.0393,-90,0
58,74.9818,74.983,0,37,239166,-68.1828,-90,0
59,74.9818,74.983,0,37,239166,-68.3239,-90,0
60,74.9818,74.983,0,37,239166,-68.4626,-90,0
61,74.9818,74.983,0,37,239166,-68.599,-90,0
62,74.9818,74.983,0,37,239166,-68.7331,-90,0
63,74.9818,74.983,0,37,239166,-68.8652,-90,0
64,74.9818,74.983,0,37,239166,-68.9951,-90,0
65,74.9818,74.983,0,37,239166,-69.1231,-90,0
66,74.9818,74.983,0,37,239166,-69.249,-90,0
67,74.9818,74.983,0,37,239166,-69.3731,-90,0
68,74.9818,74.983,0,37,239166,-69.4954,-90,0
69,74.9818,74.983,0,37,239166,-69.6158,-90,0
70,74.9818,74.983,0,37,239166,-69.7346,-90,0
71,74.9818,74.983,0,37,239166,-69.8516,-90,0
72,74.9818,74.983,0,37,239166,-69.967,-90,0
73,74.9818,74.983,0,37,239166,-70.0808,-90,0
74,74.9818,74.983,0,37,239166,-70.1931,-90,0
75,74.9818,74.983,0,37,239166,-70.3039,-90,0
76,74.9818,74.983,0,37,239166,-70.4132,-90,0
77,74.9818,74.9833,0,37,239166,-70.521,-90,0
78,74.9818,74.9833,0,37,239166,-70.6275,-90,0
79,74.9818,74.9843,0,37,239166,-70.7326,-90,0
80,74.9818,74.9837,0,37,239166,-70.8364,-90,0
81,74.9818,74.9852,0,37,239166,-70.9389,-90,0
82,74.9818,74.9868,0,37,239166,-71.0402,-90,0
83,74.9818,74.983,0,37,239166,-71.1402,-90,0
84,74.9818,74.983,0,37,239166,-71.239,-90,0
85,74.9818,74.983,0,37,239166,-71.3367,-90,0
86,74.9818,74.983,0,37,239166,-71.4332,-90,0
87,74.9818,74.983,0,37,239166,-71.5286,-90,0
88,74.9818,74.983,0,37,239166,-71.6229,-90,0
89,74.9818,74.983,0,37,239166,-71.7161,-90,0
90,74.9818,74.983,0,37,239166,-71.8083,-90,0
91,74.9818,74.983,0,37,239166,-71.8995,-90,0
92,74.9818,74.9846,0,37,239166,-71.9897,-90,0
93,74.9818,75.0003,0,37,239166,-72.0789,-90,0
94,74.9818,75.0181,0,37,239166,-72.1671,-90,0
95,74.9818,75.041,0,37,239166,-72.2544,-90,0
96,74.9818,75.0602,0,37,239166,-72.3409,-90,0
97,74.9818,75.0859,0,37,239166,-72.4264,-90,0
98,74.9818,75.0912,0,37,239166,-72.511,-90,0
99,74.9818,75.104,0,37,239166,-72.5948,-90,0
100,74.9818,75.1329,0,37,239166,-72.6777,-90,0
101,74.9818,75.1539,0,37,239166,-72.7598,-90,0
102,74.9818,75.1874,0,37,239166,-72.8411,-90,0
103,74.9818,75.2163,0,37,239166,-72.9216,-90,0
