distance,troughput,server_troughput,calculation_start_after_app,runtime,total_packet_count_received,signal_mean,noise,signal_varianz
1,74.9751,78.5946,0,27,174511,-34.6839,-90,0
2,74.9751,78.5946,0,27,174511,-40.7045,-90,0
3,74.9751,78.5946,0,27,174511,-44.2264,-90,0
4,74.9751,78.5946,0,27,174511,-46.7251,-90,0
5,74.9751,78.5946,0,27,174511,-48.6633,-90,0
6,74.9751,78.5946,0,27,174511,-50.247,-90,0
7,74.9751,78.5946,0,27,174511,-51.5859,-90,0
8,74.9751,78.5946,0,27,174511,-52.7457,-90,0
9,74.9751,78.5946,0,27,174511,-53.7688,-90,0
10,74.9751,78.5946,0,27,174511,-54.6839,-90,0
11,74.9751,78.5946,0,27,174511,-55.5118,-90,0
12,74.9751,78.5946,0,27,174511,-56.2676,-90,0
13,74.9751,78.5946,0,27,174511,-56.9628,-90,0
14,74.9751,78.5946,0,27,174511,-57.6065,-90,0
15,74.9751,78.5946,0,27,174511,-58.2058,-90,0
16,74.9751,78.5946,0,27,174511,-58.7663,-90,0
17,74.9751,78.5946,0,27,174511,-59.2929,-90,0
18,74.9751,78.5946,0,27,174511,-59.7894,-90,0
19,74.9751,78.5946,0,27,174511,-60.259,-90,0
20,74.9751,78.5946,0,27,174511,-60.7045,-90,0
21,74.9751,78.5946,0,27,174511,-61.1283,-90,0
22,74.9751,78.5946,0,27,174511,-61.5324,-90,0
23,74.9751,78.5946,0,27,174511,-61.9185,-90,0
24,74.9751,78.5946,0,27,174511,-62.2882,-90,0
25,74.9751,78.5946,0,27,174511,-62.6427,-90,0
26,74.9751,78.5946,0,27,174511,-62.9834,-90,0
27,74.9751,78.5946,0,27,174511,-63.3112,-90,0
28,74.9751,78.5946,0,27,174511,-63.6271,-90,0
29,74.9751,78.5946,0,27,174511,-63.9319,-90,0
30,74.9751,78.5946,0,27,174511,-64.2264,-90,0
31,74.9751,78.5946,0,27,174511,-64.5112,-90,0
32,74.9751,78.5946,0,27,174511,-64.7869,-90,0
33,74.9751,78.5946,0,27,174511,-65.0542,-90,0
34,74.9751,78.5946,0,27,174511,-65.3135,-90,0
35,74.9751,78.5946,0,27,174511,-65.5653,-90,0
36,74.9751,78.5946,0,27,174511,-65.81,-90,0
37,74.9751,78.5946,0,27,174511,-66.048,-90,0
38,74.9751,78.5946,0,27,174511,-66.2796,-90,0
39,74.9751,78.5946,0,27,174511,-66.5052,-90,0
40,74.9751,78.5946,0,27,174511,-66.7251,-90,0
41,74.9751,78.5946,0,27,174511,-66.9396,-90,0
42,74.9751,78.5946,0,27,174511,-67.1489,-90,0
43,74.9751,78.5946,0,27,174511,-67.3533,-90,0
44,74.9751,78.5946,0,27,174511,-67.553,-90,0
45,74.9751,78.5946,0,27,174511,-67.7482,-90,0
46,74.9751,78.5946,0,27,174511,-67.9391,-90,0
47,74.9751,78.5946,0,27,174511,-68.1259,-90,0
48,74.9751,78.5946,0,27,174511,-68.3088,-90,0
49,74.9751,78.5946,0,27,174511,-68.4878,-90,0
50,74.9751,78.5946,0,27,174511,-68.6633,-90,0
51,74.9751,78.5946,0,27,174511,-68.8353,-90,0
52,74.9751,78.5946,0,27,174511,-69.004,-90,0
53,74.9751,78.5946,0,27,174511,-69.1694,-90,0
54,74.9751,78.5946,0,27,174511,-69.3318,-90,0
55,74.9751,78.5946,0,27,174511,-69.4912,-90,0
56,74.9751,78.5946,0,27,174511,-69.6477,-90,0
57,74.9751,78.5946,0,27,174511,-69.8014,-90,0
58,74.9751,78.5946,0,27,174511,-69.9525,-90,0
59,74.9751,78.5946,0,27,174511,-70.101,-90,0
60,74.9751,78.5946,0,27,174511,-70.247,-90,0
61,74.9751,78.5946,0,27,174511,-70.3905,-90,0
62,74.9751,78.5946,0,27,174511,-70.5318,-90,0
63,74.9751,78.5946,0,27,174511,-70.6707,-90,0
64,74.9751,78.5946,0,27,174511,-70.8075,-90,0
65,74.9751,78.5947,0,27,174511,-70.9422,-90,0
66,74.9751,78.5947,0,27,174511,-71.0748,-90,0
67,74.9751,78.5946,0,27,174511,-71.2054,-90,0
68,74.9751,78.5946,0,27,174511,-71.3341,-90,0
69,74.9751,78.5946,0,27,174511,-71.4609,-90,0
70,74.9751,78.5946,0,27,174511,-71.5859,-90,0
71,74.9751,78.5946,0,27,174511,-71.7091,-90,0
72,74.9751,78.5946,0,27,174511,-71.8306,-90,0
73,74.9751,78.5946,0,27,174511,-71.9504,-90,0
74,74.9751,78.5948,0,27,174511,-72.0686,-90,0
75,74.9751,78.5952,0,27,174511,-72.1852,-90,0
76,74.9751,78.5956,0,27,174511,-72.3002,-90,0
77,74.9751,78.5961,0,27,174511,-72.4137,-90,0
78,74.9751,78.5966,0,27,174511,-72.5258,-90,0
79,74.9751,78.5969,0,27,174511,-72.6365,-90,0
80,74.9751,78.5974,0,27,174511,-72.7457,-90,0
81,74.9751,78.5979,0,27,174511,-72.8536,-90,0
82,74.9751,78.5987,0,27,174511,-72.9602,-90,0
83,74.9751,78.5985,0,27,174511,-73.0655,-90,0
84,74.9751,78.598,0,27,174511,-73.1695,-90,0
85,74.9751,78.5978,0,27,174511,-73.2723,-90,0
86,74.9751,78.5975,0,27,174511,-73.3739,-90,0
87,74.9751,78.5971,0,27,174511,-73.4743,-90,0
88,74.9751,78.597,0,27,174511,-73.5736,-90,0
89,74.9751,78.5968,0,27,174511,-73.6717,-90,0
90,74.9751,78.5966,0,27,174511,-73.7688,-90,0
91,74.9751,78.5966,0,27,174511,-73.8648,-90,0
92,74.9751,78.5965,0,27,174511,-73.9597,-90,0
93,74.9751,78.5958,0,27,174511,-74.0536,-90,0
94,74.9751,78.5952,0,27,174511,-74.1465,-90,0
95,74.7388,78.347,0,27,173961,-74.2384,-90,0
96,71.2635,74.7041,0,27,165872,-74.3294,-90,0
97,73.5341,77.0842,0,27,171157,-74.4194,-90,0
98,73.8396,77.4044,0,27,171868,-74.5084,-90,0
99,73.6566,77.2126,0,27,171442,-74.5966,-90,0
100,73.3335,76.8739,0,27,170690,-74.6839,-90,0
101,73.0847,76.6131,0,27,170111,-74.7704,-90,0
102,70.7965,74.2144,0,27,164785,-74.8559,-90,0
103,70.769,74.1856,0,27,164721,-74.9407,-90,0
104,70.7273,74.1419,0,27,164624,-75.0246,-90,0
105,70.6599,74.0712,0,27,164467,-75.1077,-90,0
106,70.6238,74.0334,0,27,164383,-75.19,-90,0
107,69.5764,72.9354,0,27,161945,-75.2716,-90,0
108,69.4965,72.8516,0,27,161759,-75.3524,-90,0
109,69.3933,72.7435,0,27,161519,-75.4325,-90,0
110,69.2653,72.6093,0,27,161221,-75.5118,-90,0
111,70.3037,73.6979,0,27,163638,-75.5904,-90,0
112,70.2754,73.6681,0,27,163572,-75.6683,-90,0
113,70.2638,73.656,0,27,163545,-75.7455,-90,0
114,70.2058,73.5952,0,27,163410,-75.822,-90,0
115,70.1869,73.5754,0,27,163366,-75.8979,-90,0
116,70.1821,73.5705,0,27,163355,-75.9731,-90,0
117,70.1551,73.5421,0,27,163292,-76.0476,-90,0
118,70.1203,73.5056,0,27,163211,-76.1216,-90,0
119,70.1052,73.4899,0,27,163176,-76.1949,-90,0
120,70.0756,73.4588,0,27,163107,-76.2676,-90,0
121,70.0468,73.4286,0,27,163040,-76.3396,-90,0
122,70.0189,73.3993,0,27,162975,-76.4111,-90,0
123,69.9759,73.3543,0,27,162875,-76.482,-90,0
124,69.8732,73.2467,0,27,162636,-76.5524,-90,0
125,69.8251,73.1962,0,27,162524,-76.6221,-90,0
126,69.7431,73.1102,0,27,162333,-76.6913,-90,0
127,70.018,73.3984,0,27,162973,-76.76,-90,0
128,69.9815,73.3602,0,27,162888,-76.8281,-90,0
129,69.9115,73.2868,0,27,162725,-76.8957,-90,0
130,68.4164,71.7195,0,27,159245,-76.9628,-93,0
131,68.2351,71.5294,0,27,158823,-77.0294,-90,0
132,68.0709,71.3574,0,27,158441,-77.0954,-90,0
133,67.9386,71.2187,0,27,158133,-77.161,-90,0
134,67.8381,71.1133,0,27,157899,-77.226,-90,0
135,67.6241,70.889,0,27,157401,-77.2906,-90,0
