Distance;Dämpfung;Signalstärke
1;46,93551739;-35,93551739
2;52,95611731;-41,95611731
3;56,47794249;-45,47794249
4;58,97671722;-47,97671722
5;60,91491748;-49,91491748
6;62,4985424;-51,4985424
7;63,83747819;-52,83747819
8;64,99731713;-53,99731713
9;66,02036758;-55,02036758
10;66,93551739;-55,93551739
11;67,7633711;-56,7633711
12;68,51914231;-57,51914231
13;69,21438444;-58,21438444
14;69,85807811;-58,85807811
15;70,45734257;-59,45734257
16;71,01791705;-60,01791705
17;71,54449582;-60,54449582
18;72,04096749;-61,04096749
19;72,51058941;-61,51058941
20;72,95611731;-61,95611731
21;73,37990329;-62,37990329
22;73,78397101;-62,78397101
23;74,17007411;-63,17007411
24;74,53974223;-63,53974223
25;74,89431757;-63,89431757
26;75,23498435;-64,23498435
27;75,56279268;-64,56279268
28;75,87867802;-64,87867802
29;76,18347735;-65,18347735
30;76,47794249;-65,47794249
31;76,76275127;-65,76275127
32;77,03851696;-66,03851696
33;77,30579619;-66,30579619
34;77,56509573;-66,56509573
35;77,81687828;-66,81687828
36;78,06156741;-67,06156741
37;78,29955187;-67,29955187
38;78,53118932;-67,53118932
39;78,75680953;-67,75680953
40;78,97671722;-67,97671722
41;79,19119453;-68,19119453
42;79,4005032;-68,4005032
43;79,6048865;-68,6048865
44;79,80457092;-68,80457092
45;79,99976767;-68,99976767
46;80,19067403;-69,19067403
47;80,37747455;-69,37747455
48;80,56034214;-69,56034214
49;80,73943899;-69,73943899
50;80,91491748;-69,91491748
51;81,08692091;-70,08692091
52;81,25558426;-70,25558426
53;81,42103478;-70,42103478
54;81,58339259;-70,58339259
55;81,74277118;-70,74277118
56;81,89927793;-70,89927793
57;82,05301451;-71,05301451
58;82,20407726;-71,20407726
59;82,35255762;-71,35255762
60;82,4985424;-71,4985424
61;82,64211409;-71,64211409
62;82,78335118;-71,78335118
63;82,92232838;-71,92232838
64;83,05911687;-72,05911687
65;83,19378452;-72,19378452
66;83,3263961;-72,3263961
67;83,45701345;-72,45701345
68;83,58569565;-72,58569565
69;83,71249921;-72,71249921
70;83,83747819;-72,83747819
71;83,96068437;-72,96068437
72;84,08216732;-73,08216732
73;84,20197459;-73,20197459
74;84,32015179;-73,32015179
75;84,43674266;-73,43674266
76;84,55178924;-73,55178924
77;84,6653319;-73,6653319
78;84,77740945;-73,77740945
79;84,88805922;-73,88805922
80;84,99731713;-73,99731713
81;85,10521777;-74,10521777
82;85,21179444;-74,21179444
83;85,31707924;-74,31707924
84;85,42110311;-74,42110311
85;85,52389591;-74,52389591
86;85,62548642;-74,62548642
